; ;high;normal;P-Value;Test
n;;90;82;;
age;;64.0 [55.2,74.8];66.5 [58.2,75.0];0.678;Kruskal-Wallis
ast;;75.0 [37.0,170.8];29.5 [17.3,66.5];<0.001;Kruskal-Wallis
bun;;38.5 [26.2,48.5];44.3 [27.7,60.6];0.093;Kruskal-Wallis
wbc;;13.1 [6.4,22.3];13.6 [6.7,20.2];0.534;Kruskal-Wallis
bicarbonate;;17.0 [14.6,20.8];21.9 [18.2,24.4];<0.001;Kruskal-Wallis
chloride;;106.0 [101.0,108.8];105.0 [101.2,109.0];0.845;Kruskal-Wallis
creatinine;;1.9 [1.5,2.9];1.8 [0.9,3.9];0.570;Kruskal-Wallis
glucose;;138.5 [99.5,174.5];141.5 [106.5,186.0];0.583;Kruskal-Wallis
platelets;;147.0 [77.8,225.5];190.0 [82.0,300.0];0.214;Kruskal-Wallis
potassium;;4.1 [3.5,4.6];4.0 [3.5,4.6];0.834;Kruskal-Wallis
sodium;;138.7 [134.2,143.8];136.2 [131.8,139.4];0.005;Kruskal-Wallis
bilirubin;;1.4 [0.8,2.3];1.0 [0.5,2.2];0.045;Kruskal-Wallis
hr;;107.5 [95.0,124.0];89.5 [70.0,103.0];<0.001;Kruskal-Wallis
bp;;69.0 [62.0,79.4];76.0 [69.0,83.8];0.001;Kruskal-Wallis
temperature;;36.0 [35.4,36.7];36.0 [35.5,36.6];0.644;Kruskal-Wallis
gender;F;43 (47.8);25 (30.5);0.031;Chi-squared
gender;M;47 (52.2);57 (69.5);0.031;
peripheral_vascular;No;77 (85.6);76 (92.7);0.213;Chi-squared
peripheral_vascular;Yes;13 (14.4);6 (7.3);0.213;
hypertension;No;51 (56.7);43 (52.4);0.687;Chi-squared
hypertension;Yes;39 (43.3);39 (47.6);0.687;
hypothyroidism;No;88 (97.8);72 (87.8);0.024;Chi-squared
hypothyroidism;Yes;2 (2.2);10 (12.2);0.024;
diabetes;No;63 (70.0);50 (61.0);0.278;Chi-squared
diabetes;Yes;27 (30.0);32 (39.0);0.278;
renal_failure;No;64 (71.1);56 (68.3);0.814;Chi-squared
renal_failure;Yes;26 (28.9);26 (31.7);0.814;
liver_disease;No;73 (81.1);72 (87.8);0.320;Chi-squared
liver_disease;Yes;17 (18.9);10 (12.2);0.320;
metastatic_cancer;No;90 (100.0);80 (97.6);0.226;Fisher's exact
metastatic_cancer;Yes;;2 (2.4);0.226;
solid_cancer;No;76 (84.4);74 (90.2);0.363;Chi-squared
solid_cancer;Yes;14 (15.6);8 (9.8);0.363;
rheumatoid_arthritis;No;89 (98.9);78 (95.1);0.193;Fisher's exact
rheumatoid_arthritis;Yes;1 (1.1);4 (4.9);0.193;
coagulopathy;No;43 (47.8);59 (72.0);0.002;Chi-squared
coagulopathy;Yes;47 (52.2);23 (28.0);0.002;
obesity;No;82 (91.1);70 (85.4);0.349;Chi-squared
obesity;Yes;8 (8.9);12 (14.6);0.349;
deficiency_anemias;No;75 (83.3);65 (79.3);0.625;Chi-squared
deficiency_anemias;Yes;15 (16.7);17 (20.7);0.625;
chronic_pulmonary_disease;No;82 (91.1);62 (75.6);0.011;Chi-squared
chronic_pulmonary_disease;Yes;8 (8.9);20 (24.4);0.011;
chronic_neurologic_diseases;No;85 (94.4);73 (89.0);0.308;Chi-squared
chronic_neurologic_diseases;Yes;5 (5.6);9 (11.0);0.308;
substance_abuse;No;80 (88.9);71 (86.6);0.820;Chi-squared
substance_abuse;Yes;10 (11.1);11 (13.4);0.820;
heart_diseases;No;61 (67.8);55 (67.1);0.949;Chi-squared
heart_diseases;Yes;29 (32.2);27 (32.9);0.949;
