; ;high;normal;P-Value;Test
n;;768;527;;
age;;69.0 [58.0,80.2];72.0 [61.0,81.0];0.006;Kruskal-Wallis
ast;;78.0 [35.0,291.8];49.0 [25.6,130.5];<0.001;Kruskal-Wallis
bun;;37.0 [24.0,52.2];34.0 [21.0,58.0];0.311;Kruskal-Wallis
wbc;;13.5 [7.2,21.2];12.9 [9.1,18.4];0.634;Kruskal-Wallis
bicarbonate;;18.0 [14.0,21.0];22.0 [19.0,26.0];<0.001;Kruskal-Wallis
calcium;;7.9 [7.2,8.6];7.9 [7.3,8.5];0.530;Kruskal-Wallis
chloride;;105.0 [99.0,110.0];105.0 [100.0,110.0];0.278;Kruskal-Wallis
creatinine;;1.8 [1.2,2.8];1.5 [0.9,2.7];<0.001;Kruskal-Wallis
glucose;;148.5 [106.8,210.0];124.0 [102.0,157.0];<0.001;Kruskal-Wallis
platelets;;174.0 [104.8,275.2];241.0 [169.0,341.0];<0.001;Kruskal-Wallis
potassium;;4.4 [3.8,5.0];4.2 [3.7,4.6];<0.001;Kruskal-Wallis
sodium;;138.0 [135.0,142.0];139.0 [135.0,143.0];0.212;Kruskal-Wallis
bilirubin;;1.2 [0.5,2.9];0.7 [0.3,1.5];<0.001;Kruskal-Wallis
hr;;104.0 [88.0,119.0];95.0 [79.0,109.0];<0.001;Kruskal-Wallis
bp;;72.0 [63.2,83.0];71.0 [63.0,83.8];0.595;Kruskal-Wallis
temperature;;35.8 [35.0,36.6];35.6 [34.7,36.4];0.002;Kruskal-Wallis
gender;F;341 (44.4);224 (42.5);0.536;Chi-squared
gender;M;427 (55.6);303 (57.5);0.536;
peripheral_vascular;No;703 (91.5);468 (88.8);0.122;Chi-squared
peripheral_vascular;Yes;65 (8.5);59 (11.2);0.122;
hypertension;No;367 (47.8);228 (43.3);0.122;Chi-squared
hypertension;Yes;401 (52.2);299 (56.7);0.122;
hypothyroidism;No;679 (88.4);458 (86.9);0.468;Chi-squared
hypothyroidism;Yes;89 (11.6);69 (13.1);0.468;
diabetes;No;516 (67.2);348 (66.0);0.709;Chi-squared
diabetes;Yes;252 (32.8);179 (34.0);0.709;
renal_failure;No;628 (81.8);373 (70.8);<0.001;Chi-squared
renal_failure;Yes;140 (18.2);154 (29.2);<0.001;
liver_disease;No;620 (80.7);494 (93.7);<0.001;Chi-squared
liver_disease;Yes;148 (19.3);33 (6.3);<0.001;
metastatic_cancer;No;698 (90.9);499 (94.7);0.015;Chi-squared
metastatic_cancer;Yes;70 (9.1);28 (5.3);0.015;
solid_cancer;No;732 (95.3);500 (94.9);0.821;Chi-squared
solid_cancer;Yes;36 (4.7);27 (5.1);0.821;
rheumatoid_arthritis;No;737 (96.0);508 (96.4);0.804;Chi-squared
rheumatoid_arthritis;Yes;31 (4.0);19 (3.6);0.804;
coagulopathy;No;440 (57.3);393 (74.6);<0.001;Chi-squared
coagulopathy;Yes;328 (42.7);134 (25.4);<0.001;
obesity;No;728 (94.8);483 (91.7);0.032;Chi-squared
obesity;Yes;40 (5.2);44 (8.3);0.032;
deficiency_anemias;No;580 (75.5);348 (66.0);<0.001;Chi-squared
deficiency_anemias;Yes;188 (24.5);179 (34.0);<0.001;
chronic_pulmonary_disease;No;587 (76.4);342 (64.9);<0.001;Chi-squared
chronic_pulmonary_disease;Yes;181 (23.6);185 (35.1);<0.001;
chronic_neurologic_diseases;No;652 (84.9);443 (84.1);0.741;Chi-squared
chronic_neurologic_diseases;Yes;116 (15.1);84 (15.9);0.741;
substance_abuse;No;696 (90.6);480 (91.1);0.856;Chi-squared
substance_abuse;Yes;72 (9.4);47 (8.9);0.856;
heart_diseases;No;344 (44.8);173 (32.8);<0.001;Chi-squared
heart_diseases;Yes;424 (55.2);354 (67.2);<0.001;
